Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15018;Voiron Urbain;Urbaine;O3;Fond;Oui;mesures indicatives;Max. journalier moy. hor.;41.4;41.4;µg-m3;100.0;100;100.0;R;1;45.360176;5.589419
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15038;St Martin d'Heres;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;36.6;36.575;µg-m3;100.0;100;100.0;A;1;45.1828;5.7531
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;30.8;30.775;µg-m3;95.0;100;95.0;A;1;45.1619;5.7356
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15045;Grenoble PeriurbSud;Périurbaine;O3;Fond;Oui;mesures indicatives;Max. journalier moy. hor.;35.7;35.65;µg-m3;100.0;100;100.0;A;1;45.0578;5.6767
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15048;Gresivaudan Periurb;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;42.7;42.725;µg-m3;100.0;100;100.0;A;1;45.2797;5.8822
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR16017;Nord-Est Alsace;Rurale régionale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;42.2;42.2;µg-m3;100.0;100;100.0;A;1;48.919357;8.158458
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZAG01;ZAG STRASBOURG;FR16029;Strasbourg Nord;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;28.7;28.725;µg-m3;100.0;100;100.0;A;1;48.610363;7.781631
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR16031;Vosges du Nord;Rurale régionale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;49.7;49.725;µg-m3;100.0;100;100.0;A;1;48.85731;7.314175
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZAG01;ZAG STRASBOURG;FR16041;Strasbourg Sud 2;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;29.8;29.8;µg-m3;84.0;100;84.0;R;1;48.5157;7.687819
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR16064;Colmar Sud;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;37.0;37.025;µg-m3;100.0;100;100.0;A;1;48.065414;7.333139
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR16065;Mulhouse Est;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;38.0;37.95;µg-m3;100.0;100;100.0;A;1;47.723106;7.341603
